sem | branch_code | subject_code | credit | duplicate_reg_nos
III | 101 | 100301 | 2.00 | 21101103002,22101127003
III | 101 | 100312 | 2.00 | 21101103002,22101127003
III | 101 | 100399P | 4.00 | 21101103002,22101127003
III | 101 | 101302 | 1.00 | 21101103002,22101127003
III | 101 | 101302P | 1.00 | 21101103002,22101127003
III | 101 | 101303 | 1.00 | 21101103002,22101127003
III | 101 | 101303P | 1.00 | 21101103002,22101127003
III | 101 | 101304 | 4.00 | 21101103002,22101127003
III | 101 | 101305 | 3.00 | 21101103002,22101127003
III | 101 | 101306 | 2.00 | 21101103002,22101127003
III | 101 | 101308 | 2.00 | 21101103002,22101127003
III | 101 | 101308P | 1.00 | 21101103002,22101127003
III | 102 | 100301 | 3.00 | 21102102004,22102102001
III | 102 | 100303 | 4.00 | 21102102004,22102102001
III | 102 | 100309 | 3.00 | 21102102004,22102102001
III | 102 | 100309P | 1.00 | 21102102004,22102102001
III | 102 | 100312 | 4.00 | 21102102004,22102102001
III | 102 | 100399P | 4.00 | 21102102004,22102102001
III | 102 | 102302P | 2.00 | 21102102004,22102102001
III | 102 | 102304 | 4.00 | 21102102004,22102102001
III | 103 | 100302 | 3.00 | 21103106001,22103106006
III | 103 | 100302P | 1.00 | 21103106001,22103106006
III | 103 | 100306 | 4.00 | 21103106001,22103106006
III | 103 | 100306P | 1.00 | 21103106001,22103106006
III | 103 | 100307 | 4.00 | 21103106001,22103106006
III | 103 | 100307P | 1.00 | 21103106001,22103106006
III | 103 | 100308 | 4.00 | 21103106001,22103106006
III | 103 | 100310 | 4.00 | 21103106001,22103106006
III | 103 | 100399P | 4.00 | 21103106001,22103106006
III | 104 | 100313 | 3.00 | 21104102001,22104134040
III | 104 | 100313P | 1.00 | 21104102001,22104134040
III | 104 | 100399P | 4.00 | 21104102001,22104134040
III | 104 | 104301 | 3.00 | 21104102001,22104134040
III | 104 | 104301P | 1.00 | 21104102001,22104134040
III | 104 | 104302 | 3.00 | 21104102001,22104134040
III | 104 | 104302P | 1.00 | 21104102001,22104134040
III | 104 | 104303 | 3.00 | 21104102001,22104134040
