batch | sem | reg_no | branch_code | branch_name | subject_type | subject_code | subject_name | credit
22 | I | 22101127003 | 101 | Civil Engineering | theory | 100101 | BASIC ELECTRICAL ENGINEERING | 4.00
22 | I | 22101127003 | 101 | Civil Engineering | theory | 100102 | ENGINEERING GRAPHICS & DESIGN | 1.00
22 | I | 22101127003 | 101 | Civil Engineering | theory | 101101 | PHYSICS(MECHANICS) | 4.00
22 | I | 22101127003 | 101 | Civil Engineering | theory | 101102 | MATHEMATICS - I (CALCULUS,MULTIVARIABLE CALCULUS AND LINEAR ALGEBRA) | 4.00
22 | I | 22101127003 | 101 | Civil Engineering | practical | 100101P | BASIC ELECTRICAL ENGINEERING | 1.00
22 | I | 22101127003 | 101 | Civil Engineering | practical | 100102P | ENGINEERING GRAPHICS & DESIGN | 2.00
22 | I | 22101127003 | 101 | Civil Engineering | practical | 101101P | PHYSICS (MECHANICS & MECHANICS OF SOLIDS) | 1.50
22 | II | 22101127003 | 101 | Civil Engineering | theory | 100203 | CHEMISTRY | 4.00
22 | II | 22101127003 | 101 | Civil Engineering | theory | 100204 | PROGRAMMING FOR PROBLEM SOLVING | 3.00
22 | II | 22101127003 | 101 | Civil Engineering | theory | 100205 | WORKSHOP MANUFACTURING PRACTICES | 1.00
22 | II | 22101127003 | 101 | Civil Engineering | theory | 100206 | ENGLISH | 2.00
22 | II | 22101127003 | 101 | Civil Engineering | theory | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | 4.00
22 | II | 22101127003 | 101 | Civil Engineering | practical | 100203P | CHEMISTRY | 1.50
22 | II | 22101127003 | 101 | Civil Engineering | practical | 100204P | PROGRAMMING FOR PROBLEM SOLVING | 2.00
22 | II | 22101127003 | 101 | Civil Engineering | practical | 100205P | WORKSHOP MANUFACTURING PRACTICES | 2.00
22 | II | 22101127003 | 101 | Civil Engineering | practical | 100206P | ENGLISH | 1.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 100301 | BIOLOGY FOR ENGINEERS | 2.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 100312 | MATHEMATICS-III (PDE, PROBABILILTY AND STATISTICS) | 2.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 101302 | BASIC ELECTRONICS | 1.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 101303 | COMPUTER AIDED CIVIL ENGINEERING DRAWING | 1.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 101304 | ENGINEERING MECHANICS | 4.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 101305 | HUMANITIES-I(EFFECTIVE TECHNICAL COMMUNICATION) | 3.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 101306 | INTRODUCTION TO CIVIL ENGINEERING | 2.00
22 | III | 22101127003 | 101 | Civil Engineering | theory | 101308 | SURVEYING & GEOMATICS | 2.00
22 | III | 22101127003 | 101 | Civil Engineering | practical | 100399P | Internship | 4.00
22 | III | 22101127003 | 101 | Civil Engineering | practical | 101302P | BASIC ELECTRONICS | 1.00
